seller_id,product_id,product_title,category,price,discount_pct,rating,num_reviews,orders_last_30d,views_last_30d,trend_score,cod_share,rto_rate,return_rate,succeeded
S100,P0001,Kids Casual Sneakers,Footwear,538.0,0,3.74,59,33,53,0.206,0.385,0.128,0.122,0
S100,P0002,Floral Anarkali Kurti,Kurtis,922.0,10,4.97,50,38,307,0.687,0.615,0.112,0.14,0
S100,P0003,Kids Pajama Set,Kids Wear,944.0,0,3.38,53,31,78,0.543,0.573,0.087,0.114,0
S100,P0004,Pearl Drop Earrings,Jewellery,1590.0,15,4.15,48,30,1088,0.971,0.543,0.138,0.13,0
S100,P0005,Kundan Choker Set,Jewellery,486.0,0,3.63,52,62,184,1.0,0.515,0.118,0.124,1
S100,P0006,Wall Hanging Clock,Home Decor,753.0,0,3.63,54,12,147,0.0,0.594,0.081,0.094,0
S100,P0007,Pearl Drop Earrings,Jewellery,1265.0,5,4.39,54,36,329,0.96,0.521,0.135,0.122,1
S100,P0008,Women's Flat Sandals,Footwear,849.0,15,3.97,63,34,529,0.171,0.415,0.119,0.138,0
S100,P0009,Wall Hanging Clock,Home Decor,496.0,5,4.0,67,34,95,0.001,0.592,0.069,0.117,0
S100,P0010,USB Cable 3-pack,Electronics Accessories,495.0,0,3.42,49,33,34,0.24,0.633,0.115,0.107,0
S100,P0011,Kundan Choker Set,Jewellery,546.0,0,4.16,67,63,82,0.992,0.504,0.126,0.109,1
S100,P0012,Floral Anarkali Kurti,Kurtis,297.0,15,3.55,63,68,240,0.706,0.563,0.114,0.163,1
S100,P0013,Bluetooth Neckband,Electronics Accessories,312.0,5,3.62,62,36,441,0.223,0.64,0.123,0.124,0
S100,P0014,Kids Pajama Set,Kids Wear,328.0,5,3.83,57,59,52,0.621,0.569,0.076,0.127,1
S100,P0015,USB Cable 3-pack,Electronics Accessories,1497.0,0,4.96,60,0,550,0.218,0.635,0.125,0.102,0
S100,P0016,Kids Pajama Set,Kids Wear,941.0,15,4.39,60,43,333,0.59,0.552,0.083,0.114,1
S100,P0017,Phone Ring Holder,Electronics Accessories,424.0,25,3.06,64,56,475,0.274,0.622,0.116,0.119,1
S100,P0018,Kids Printed Frock,Kids Wear,1304.0,0,4.39,55,15,593,0.494,0.541,0.098,0.109,0
S100,P0019,LED Fairy Lights,Home Decor,402.0,15,2.91,66,35,394,0.0,0.617,0.077,0.103,0
S100,P0020,Ceramic Planter,Home Decor,687.0,15,3.98,57,26,130,0.042,0.613,0.084,0.094,0
S100,P0021,Beaded Bracelet,Jewellery,633.0,25,4.35,53,75,520,1.0,0.498,0.116,0.133,1
S100,P0022,Men's Running Shoes,Footwear,1575.0,25,4.09,62,9,82,0.196,0.354,0.12,0.13,0
S100,P0023,Wireless Mouse,Electronics Accessories,900.0,25,4.27,72,38,142,0.249,0.615,0.133,0.125,0
S100,P0024,Printed A-line Kurti,Kurtis,1000.0,5,4.07,63,36,109,0.66,0.567,0.118,0.139,0
S100,P0025,Beaded Bracelet,Jewellery,685.0,25,3.83,49,74,381,1.0,0.516,0.117,0.133,1
S100,P0026,Kundan Choker Set,Jewellery,388.0,0,4.21,62,63,391,0.99,0.554,0.135,0.125,1
S100,P0027,Beaded Bracelet,Jewellery,867.0,20,4.38,74,64,1118,0.966,0.529,0.133,0.127,1
S100,P0028,Printed A-line Kurti,Kurtis,292.0,10,4.23,49,70,621,0.694,0.558,0.129,0.133,1
S100,P0029,Oxidised Silver Jhumkas,Jewellery,1489.0,0,4.13,57,16,929,1.0,0.53,0.144,0.135,0
S100,P0030,Pearl Drop Earrings,Jewellery,1348.0,20,3.54,66,37,388,0.979,0.54,0.142,0.116,0
S100,P0031,Kundan Choker Set,Jewellery,548.0,0,4.12,60,54,671,0.969,0.53,0.131,0.114,1
S100,P0032,LED Fairy Lights,Home Decor,869.0,5,4.45,64,22,53,0.011,0.574,0.081,0.104,0
S100,P0033,Boys Cotton Shirt,Kids Wear,467.0,10,4.52,70,58,263,0.606,0.548,0.092,0.112,1
S100,P0034,Kundan Choker Set,Jewellery,1461.0,0,3.76,50,24,408,1.0,0.505,0.124,0.128,0
S100,P0035,LED Fairy Lights,Home Decor,1421.0,0,3.71,57,0,265,0.0,0.599,0.084,0.11,0
S100,P0036,Women's Flat Sandals,Footwear,3023.0,5,4.67,56,0,349,0.265,0.367,0.12,0.121,0
S100,P0037,Wall Hanging Clock,Home Decor,911.0,0,4.25,51,18,150,0.052,0.604,0.074,0.114,0
S100,P0038,Ceramic Planter,Home Decor,623.0,25,3.98,49,41,164,0.002,0.598,0.078,0.091,0
S100,P0039,Cotton Straight Kurti,Kurtis,314.0,20,4.08,59,77,926,0.676,0.588,0.105,0.142,1
S100,P0040,Printed A-line Kurti,Kurtis,627.0,10,4.4,65,58,439,0.641,0.6,0.117,0.153,1
S100,P0041,Kids Casual Sneakers,Footwear,487.0,10,4.66,62,49,338,0.211,0.376,0.136,0.13,1
S100,P0042,Men's Running Shoes,Footwear,566.0,0,4.04,48,25,38,0.237,0.397,0.12,0.14,0
S100,P0043,Cotton Straight Kurti,Kurtis,1193.0,0,4.06,62,23,504,0.752,0.585,0.105,0.141,0
S100,P0044,Cotton Straight Kurti,Kurtis,298.0,0,4.58,48,64,742,0.675,0.597,0.112,0.152,1
S100,P0045,Printed A-line Kurti,Kurtis,663.0,25,3.7,54,61,723,0.678,0.608,0.106,0.148,1
S100,P0046,Kids Casual Sneakers,Footwear,1256.0,5,4.12,44,14,140,0.222,0.385,0.119,0.144,0
S100,P0047,Girls Party Dress,Kids Wear,498.0,15,3.64,52,54,1017,0.574,0.547,0.084,0.124,1
S100,P0048,Beaded Bracelet,Jewellery,996.0,10,3.97,60,50,1191,1.0,0.522,0.136,0.132,1
S100,P0049,Phone Ring Holder,Electronics Accessories,280.0,15,4.11,51,51,122,0.232,0.634,0.121,0.106,1
S100,P0050,LED Fairy Lights,Home Decor,1151.0,5,3.81,58,12,323,0.017,0.605,0.088,0.094,0
S100,P0051,Kids Printed Frock,Kids Wear,528.0,25,4.5,62,57,119,0.544,0.554,0.064,0.117,1
S100,P0052,Wall Hanging Clock,Home Decor,525.0,15,3.27,46,33,90,0.0,0.62,0.061,0.098,0
S100,P0053,Boys Cotton Shirt,Kids Wear,575.0,0,4.52,55,39,462,0.584,0.561,0.086,0.111,0
S100,P0054,Men's Running Shoes,Footwear,1101.0,10,4.17,50,26,374,0.192,0.421,0.115,0.122,0
S100,P0055,Oxidised Silver Jhumkas,Jewellery,635.0,0,4.0,49,49,465,0.976,0.522,0.119,0.136,1
S100,P0056,Kundan Choker Set,Jewellery,877.0,25,4.28,61,71,397,1.0,0.528,0.122,0.109,1
S100,P0057,Bluetooth Neckband,Electronics Accessories,511.0,10,4.26,57,49,224,0.251,0.643,0.124,0.12,1
S100,P0058,Embroidered Kurti Set,Kurtis,747.0,0,3.41,56,37,392,0.68,0.56,0.118,0.149,0
S100,P0059,LED Fairy Lights,Home Decor,286.0,5,4.43,60,48,512,0.022,0.602,0.054,0.106,1
S100,P0060,Men's Running Shoes,Footwear,712.0,10,4.33,57,41,254,0.198,0.391,0.132,0.116,0
S100,P0061,Kids Printed Frock,Kids Wear,567.0,10,4.4,77,53,398,0.613,0.535,0.071,0.096,1
S100,P0062,Embroidered Kurti Set,Kurtis,584.0,0,4.28,62,51,205,0.655,0.576,0.105,0.158,1
S100,P0063,Beaded Bracelet,Jewellery,1368.0,15,3.87,49,29,560,1.0,0.521,0.137,0.114,0
S100,P0064,LED Fairy Lights,Home Decor,580.0,15,3.74,70,34,66,0.0,0.575,0.082,0.107,0
S100,P0065,Wall Hanging Clock,Home Decor,669.0,0,4.86,62,22,210,0.0,0.608,0.067,0.081,0
S100,P0066,Women's Flat Sandals,Footwear,762.0,0,4.26,57,18,450,0.217,0.386,0.126,0.135,0
S100,P0067,Wall Hanging Clock,Home Decor,520.0,0,3.96,51,23,141,0.0,0.609,0.054,0.108,0
S100,P0068,Pearl Drop Earrings,Jewellery,327.0,10,4.35,61,72,704,1.0,0.532,0.137,0.118,1
S101,P0069,Wall Hanging Clock,Home Decor,954.0,10,4.08,59,17,155,0.025,0.621,0.069,0.105,0
S101,P0070,Beaded Bracelet,Jewellery,526.0,0,4.1,60,60,108,1.0,0.529,0.117,0.113,1
S101,P0071,Kids Casual Sneakers,Footwear,548.0,0,3.6,42,23,148,0.155,0.416,0.117,0.145,0
S101,P0072,Embroidered Kurti Set,Kurtis,805.0,20,4.42,44,59,481,0.712,0.578,0.102,0.144,1
S101,P0073,Embroidered Kurti Set,Kurtis,674.0,0,3.66,56,32,67,0.639,0.584,0.106,0.152,0
S101,P0074,Bluetooth Neckband,Electronics Accessories,2386.0,0,4.48,53,0,584,0.236,0.642,0.114,0.121,0
S101,P0075,Embroidered Kurti Set,Kurtis,399.0,0,4.24,52,43,322,0.668,0.564,0.104,0.15,1
S101,P0076,Phone Ring Holder,Electronics Accessories,403.0,15,3.93,60,44,588,0.274,0.644,0.108,0.107,1
S101,P0077,Wireless Mouse,Electronics Accessories,578.0,10,3.73,50,36,306,0.289,0.64,0.128,0.114,0
S101,P0078,Kids Casual Sneakers,Footwear,290.0,5,4.04,44,46,226,0.185,0.361,0.107,0.115,1
S101,P0079,Cotton Straight Kurti,Kurtis,725.0,15,3.92,54,47,378,0.73,0.61,0.108,0.141,1
S101,P0080,Cotton Straight Kurti,Kurtis,266.0,20,4.12,51,71,1189,0.696,0.588,0.103,0.151,1
S101,P0081,Kids Pajama Set,Kids Wear,278.0,0,4.01,62,58,301,0.599,0.587,0.083,0.123,1
S101,P0082,LED Fairy Lights,Home Decor,470.0,15,4.4,53,42,13,0.055,0.546,0.092,0.097,1
S101,P0083,Beaded Bracelet,Jewellery,833.0,20,4.29,65,64,347,0.995,0.505,0.125,0.114,1
S101,P0084,Women's Flat Sandals,Footwear,603.0,5,3.38,65,25,480,0.184,0.37,0.115,0.139,0
S101,P0085,Embroidered Kurti Set,Kurtis,465.0,5,3.91,46,50,281,0.725,0.58,0.116,0.155,1
S101,P0086,Ceramic Planter,Home Decor,714.0,10,3.89,52,24,34,0.0,0.644,0.071,0.096,0
S101,P0087,Printed A-line Kurti,Kurtis,1019.0,15,4.18,50,39,412,0.66,0.576,0.116,0.138,0
S101,P0088,Floral Anarkali Kurti,Kurtis,817.0,10,4.54,47,42,680,0.698,0.577,0.101,0.144,1
S101,P0089,Boys Cotton Shirt,Kids Wear,1341.0,0,4.85,56,18,137,0.547,0.567,0.096,0.11,0
S101,P0090,Pearl Drop Earrings,Jewellery,855.0,20,3.55,50,59,1053,1.0,0.506,0.127,0.126,1
S101,P0091,Women's Flat Sandals,Footwear,678.0,10,4.31,51,37,47,0.199,0.402,0.099,0.117,0
